164,148,-2,240,245,210,3,168
158,3,-2,312,326,10,148,169
3,56,-2,213,215,162,3,170
3,130,-2,123,123,3,42,171
12,148,-2,132,133,3,42,172
3,56,-2,413,430,162,3,173
3,58,-2,114,117,10,148,174
208,3,-2,243,244,3,40,175
12,148,-2,312,327,162,3,176
164,148,-2,232,232,210,3,177
12,148,-2,384,390,210,3,178
3,130,-2,121,125,105,148,179
208,3,-2,304,304,162,148,180
3,58,-2,215,216,162,3,181
3,130,-2,303,313,162,3,182
3,130,-2,375,384,210,3,183
3,58,-2,215,217,162,3,184
158,3,-2,195,200,3,40,185
3,130,-2,333,341,162,3,186
12,148,-2,384,399,210,3,187
3,58,-2,215,223,162,3,188
3,58,-2,963,1037,3,42,189
3,58,-2,851,991,210,3,190
208,3,-2,497,514,162,3,191
3,130,-2,123,123,3,42,192
160,3,-2,263,266,210,3,193
3,58,-2,1137,1226,162,3,194
208,3,-2,362,366,10,148,195
12,148,-2,861,914,162,148,196
164,148,-2,240,245,210,3,197
3,58,-2,215,222,162,3,198
158,3,-2,312,317,10,148,199
12,148,-2,187,187,162,148,200
3,56,-2,33,34,3,42,201
12,148,-2,386,404,210,3,202
158,3,-2,195,207,3,40,203
3,58,-2,335,346,3,42,204
164,148,-2,232,234,210,3,205
208,3,-2,362,372,10,148,206
3,58,-2,663,693,210,3,207
208,3,-2,259,260,162,3,208
3,56,-2,33,34,3,42,209
158,3,-2,1108,1207,10,148,210
158,3,-2,195,206,3,40,211
160,3,-2,455,479,210,3,212
12,148,-2,852,876,162,3,213
3,58,-2,401,415,105,148,214
158,3,-2,659,677,210,3,215
3,130,-2,303,305,162,3,216
3,130,-2,383,413,210,3,217
158,3,-2,509,542,162,3,218
12,148,-2,130,131,105,148,219
3,130,-2,309,315,162,3,220
3,130,-2,303,307,162,3,221
12,148,-2,348,354,162,3,222
158,3,-2,653,725,210,3,223
208,3,-2,199,211,162,3,224
160,3,-2,195,197,3,40,225
3,58,-2,114,114,10,148,226
160,3,-2,449,473,162,3,227
208,3,-2,304,310,162,148,228
3,130,-2,333,340,162,3,229
158,3,-2,193,198,3,40,230
160,3,-2,705,792,210,3,231
3,58,-2,349,354,162,3,232
158,3,-2,704,726,10,148,233
208,3,-2,304,309,162,148,234
3,58,-2,389,403,3,40,235
3,130,-2,579,655,210,3,236
3,128,-2,598,707,10,148,237
158,3,-2,195,207,3,40,238
208,3,-2,362,370,10,148,239
208,3,-2,243,244,3,40,240
164,148,-2,232,232,210,3,241
